t                        x
   1.4820296405928116e-04   1.9030513510911797e-16
   1.4880297605952117e-04   1.9227112476538935e-16
   1.4940298805976118e-04   1.9425150292558814e-16
   1.5000300006000119e-04   1.9624634663654000e-16
   1.5060301206024120e-04   1.9825573334716568e-16
   1.5120302406048121e-04   2.0027974091052194e-16
   1.5180303606072119e-04   2.0231844758585263e-16
   1.5240304806096120e-04   2.0437193204064972e-16
   1.5300306006120121e-04   2.0644027335272485e-16
   1.5360307206144122e-04   2.0852355101229056e-16
   1.5420308406168123e-04   2.1062184492405217e-16
   1.5480309606192124e-04   2.1273523540930973e-16
   1.5540310806216125e-04   2.1486380320807049e-16
   1.5600312006240123e-04   2.1700762948117156e-16
   1.5660313206264124e-04   2.1916679581241317e-16
   1.5720314406288125e-04   2.2134138421070235e-16
   1.5780315606312125e-04   2.2353147711220721e-16
   1.5840316806336126e-04   2.2573715738252162e-16
   1.5900318006360127e-04   2.2795850831884086e-16
   1.5960319206384125e-04   2.3019561365214770e-16
   1.6020320406408126e-04   2.3244855754940924e-16
   1.6080321606432127e-04   2.3471742461578467e-16
   1.6140322806456128e-04   2.3700229989684385e-16
   1.6200324006480129e-04   2.3930326888079656e-16
   1.6260325206504130e-04   2.4162041750073319e-16
   1.6320326406528131e-04   2.4395383213687579e-16
   1.6380327606552129e-04   2.4630359961884067e-16
   1.6440328806576130e-04   2.4866980722791195e-16
   1.6500330006600131e-04   2.5105254269932631e-16
   1.6560331206624132e-04   2.5345189422456862e-16
   1.6620332406648133e-04   2.5586795045367941e-16
   1.6680333606672134e-04   2.5830080049757336e-16
   1.6740334806696132e-04   2.6075053393036876e-16
   1.6800336006720133e-04   2.6321724079172937e-16
   1.6860337206744134e-04   2.6570101158921672e-16
   1.6920338406768134e-04   2.6820193730065455e-16
   1.6980339606792135e-04   2.7072010937650477e-16
   1.7040340806816136e-04   2.7325561974225491e-16
   1.7100342006840134e-04   2.7580856080081738e-16
   1.7160343206864135e-04   2.7837902543494026e-16
   1.7220344406888136e-04   2.8096710700963044e-16
   1.7280345606912137e-04   2.8357289937458798e-16
   1.7340346806936138e-04   2.8619649686665270e-16
   1.7400348006960139e-04   2.8883799431226292e-16
   1.7460349206984140e-04   2.9149748702992579e-16
   1.7520350407008138e-04   2.9417507083270020e-16
   1.7580351607032139e-04   2.9687084203069134e-16
   1.7640352807056140e-04   2.9958489743355803e-16
   1.7700354007080141e-04   3.0231733435303179e-16
   1.7760355207104142e-04   3.0506825060544844e-16
   1.7820356407128142e-04   3.0783774451429223e-16
   1.7880357607152141e-04   3.1062591491275226e-16
   1.7940358807176142e-04   3.1343286114629124e-16
   1.8000360007200142e-04   3.1625868307522719e-16
   1.8060361207224143e-04   3.1910348107732728e-16
   1.8120362407248144e-04   3.2196735605041490e-16
   1.8180363607272145e-04   3.2485040941498900e-16
   1.8240364807296143e-04   3.2775274311685644e-16
   1.8300366007320144e-04   3.3067445962977702e-16
   1.8360367207344145e-04   3.3361566195812181e-16
   1.8420368407368146e-04   3.3657645363954398e-16
   1.8480369607392147e-04   3.3955693874766295e-16
   1.8540370807416148e-04   3.4255722189476165e-16
   1.8600372007440149e-04   3.4557740823449686e-16
   1.8660373207464147e-04   3.4861760346462273e-16
   1.8720374407488148e-04   3.5167791382972767e-16
   1.8780375607512149e-04   3.5475844612398455e-16
   1.8840376807536150e-04   3.5785930769391432e-16
   1.8900378007560151e-04   3.6098060644116327e-16
   1.8960379207584151e-04   3.6412245082529340e-16
   1.9020380407608150e-04   3.6728494986658688e-16
   1.9080381607632151e-04   3.7046821314886374e-16
   1.9140382807656151e-04   3.7367235082231387e-16
   1.9200384007680152e-04   3.7689747360634205e-16
   1.9260385207704153e-04   3.8014369279242741e-16
   1.9320386407728154e-04   3.8341112024699683e-16
   1.9380387607752155e-04   3.8669986841431195e-16
   1.9440388807776153e-04   3.9001005031937028e-16
   1.9500390007800154e-04   3.9334177957082109e-16
   1.9560391207824155e-04   3.9669517036389453e-16
   1.9620392407848156e-04   4.0007033748334572e-16
   1.9680393607872157e-04   4.0346739630641268e-16
   1.9740394807896158e-04   4.0688646280578934e-16
   1.9800396007920156e-04   4.1032765355261204e-16
   1.9860397207944157e-04   4.1379108571946128e-16
   1.9920398407968158e-04   4.1727687708337797e-16
   1.9980399607992159e-04   4.2078514602889404e-16
   2.0040400808016160e-04   4.2431601155107802e-16
   2.0100402008040160e-04   4.2786959325859563e-16
   2.0160403208064161e-04   4.3144601137678451e-16
   2.0220404408088159e-04   4.3504538675074482e-16
   2.0280405608112160e-04   4.3866784084844404e-16
   2.0340406808136161e-04   4.4231349576383749e-16
   2.0400408008160162e-04   4.4598247422000347e-16
   2.0460409208184163e-04   4.4967489957229409e-16
   2.0520410408208164e-04   4.5339089581150121e-16
   2.0580411608232162e-04   4.5713058756703729e-16
   2.0640412808256163e-04   4.6089410011013271e-16
   2.0700414008280164e-04   4.6468155935704760e-16
   2.0760415208304165e-04   4.6849309187229971e-16
   2.0820416408328166e-04   4.7232882487190796e-16
   2.0880417608352167e-04   4.7618888622665155e-16
   2.0940418808376165e-04   4.8007340446534519e-16
   2.1000420008400166e-04   4.8398250877812947e-16
   2.1060421208424167e-04   4.8791632901977832e-16
   2.1120422408448168e-04   4.9187499571302153e-16
   2.1180423608472168e-04   4.9585864005188346e-16
   2.1240424808496169e-04   4.9986739390503903e-16
   2.1300426008520170e-04   5.0390138981918402e-16
   2.1360427208544168e-04   5.0796076102242362e-16
   2.1420428408568169e-04   5.1204564142767613e-16
   2.1480429608592170e-04   5.1615616563609384e-16
   2.1540430808616171e-04   5.2029246894049992e-16
   2.1600432008640172e-04   5.2445468732884254e-16
   2.1660433208664173e-04   5.2864295748766518e-16
   2.1720434408688171e-04   5.3285741680559396e-16
   2.1780435608712172e-04   5.3709820337684179e-16
   2.1840436808736173e-04   5.4136545600472992e-16
   2.1900438008760174e-04   5.4565931420522520e-16
   2.1960439208784175e-04   5.4997991821049658e-16
   2.2020440408808176e-04   5.5432740897248653e-16
